Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,segment
13,61,Male,Coat,Outerwear,72,M,Gold,Winter,4.5,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,1
14,65,Male,Dress,Clothing,51,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,1
15,64,Male,Coat,Outerwear,53,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1
16,64,Male,Skirt,Clothing,81,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,1
17,25,Male,Sunglasses,Accessories,36,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1
18,53,Male,Dress,Clothing,38,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1
19,52,Male,Sweater,Clothing,48,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,1
20,66,Male,Pants,Clothing,90,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,1
21,21,Male,Pants,Clothing,51,M,Black,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,1
22,31,Male,Pants,Clothing,62,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1
23,56,Male,Pants,Clothing,37,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,1
24,31,Male,Pants,Clothing,88,XL,White,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,1
25,18,Male,Jacket,Outerwear,22,M,Green,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1
26,18,Male,Hoodie,Clothing,25,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,1
27,38,Male,Jewelry,Accessories,20,M,Red,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,1
28,56,Male,Shorts,Clothing,56,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,1
29,54,Male,Handbag,Accessories,94,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,1
30,31,Male,Dress,Clothing,48,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1
31,57,Male,Jewelry,Accessories,31,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,16,Credit Card,Monthly,1
32,33,Male,Dress,Clothing,79,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,45,Venmo,Monthly,1
33,36,Male,Jacket,Outerwear,67,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,Annually,1
34,54,Male,Pants,Clothing,38,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,1
35,36,Male,T-shirt,Clothing,91,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,1
36,54,Male,Blouse,Clothing,33,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,1
37,35,Male,T-shirt,Clothing,69,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,1
38,35,Male,Jeans,Clothing,45,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,10,PayPal,Weekly,1
39,29,Male,Dress,Clothing,37,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1
40,70,Male,Pants,Clothing,60,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,18,Credit Card,Monthly,1
41,69,Male,Handbag,Accessories,76,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,1
42,67,Male,Scarf,Accessories,39,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,1
43,20,Male,Coat,Outerwear,100,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,1
44,25,Male,Scarf,Accessories,69,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,1
45,39,Male,Hat,Accessories,53,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,1
46,50,Male,Socks,Clothing,21,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1
47,57,Male,Shirt,Clothing,43,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,1
48,55,Male,Jewelry,Accessories,54,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,1
49,42,Male,Shirt,Clothing,55,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,1
50,68,Male,Hoodie,Clothing,30,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,1
51,49,Male,Blouse,Clothing,28,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1
52,59,Male,Skirt,Clothing,59,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,1
53,42,Male,T-shirt,Clothing,20,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,1
54,29,Male,Skirt,Clothing,24,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,1
55,47,Male,Coat,Outerwear,94,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,1
56,40,Male,Jacket,Outerwear,28,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1
57,41,Male,Backpack,Accessories,73,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,1
58,21,Male,Coat,Outerwear,64,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,1
59,69,Male,Hoodie,Clothing,54,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,1
60,63,Male,Belt,Accessories,79,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,1
61,50,Male,Sweater,Clothing,37,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,1
62,55,Male,Scarf,Accessories,68,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,1
63,30,Male,Sneakers,Footwear,21,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,0
64,33,Male,Sunglasses,Accessories,79,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,1
65,65,Male,Boots,Footwear,83,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,0
66,65,Male,Backpack,Accessories,36,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1
67,31,Male,Blouse,Clothing,94,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,1
68,45,Male,Coat,Outerwear,33,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,1
69,57,Male,Handbag,Accessories,46,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,1
70,48,Male,Belt,Accessories,70,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,1
71,22,Male,Belt,Accessories,29,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,1
72,36,Male,Dress,Clothing,48,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,1
73,18,Male,Dress,Clothing,26,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,1
74,48,Male,Pants,Clothing,85,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,1
75,49,Male,Gloves,Accessories,58,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,1
76,64,Male,Scarf,Accessories,85,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,1
77,50,Male,Hat,Accessories,43,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,1
78,22,Male,Dress,Clothing,53,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1
79,50,Male,Skirt,Clothing,91,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,1
80,38,Male,Jacket,Outerwear,96,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,1
81,19,Male,Sandals,Footwear,72,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,0
82,67,Male,Shoes,Footwear,96,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,0
83,19,Male,Pants,Clothing,28,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,1
84,36,Male,Dress,Clothing,40,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,1
85,52,Male,Coat,Outerwear,32,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,1
86,53,Male,Sunglasses,Accessories,95,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,1
87,24,Male,Hoodie,Clothing,41,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,1
88,52,Male,Shoes,Footwear,53,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,0
89,33,Male,T-shirt,Clothing,47,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,1
90,47,Male,Jacket,Outerwear,83,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,1
91,25,Male,Hat,Accessories,48,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,1
92,44,Male,Scarf,Accessories,99,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,1
93,61,Male,Jacket,Outerwear,87,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,1
94,37,Male,Sweater,Clothing,62,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,1
95,58,Male,Skirt,Clothing,76,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,1
96,37,Male,Sneakers,Footwear,100,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,0
97,32,Male,Gloves,Accessories,73,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,1
98,21,Male,Shoes,Footwear,92,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,0
99,20,Male,Jeans,Clothing,67,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1
100,26,Male,Hoodie,Clothing,40,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,1
101,62,Male,Sunglasses,Accessories,98,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,1
102,27,Male,Coat,Outerwear,85,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,1
103,51,Male,Socks,Clothing,67,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,1
104,54,Male,Boots,Footwear,89,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,0
105,55,Male,Sunglasses,Accessories,24,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,1
106,69,Male,Backpack,Accessories,96,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,1
107,64,Male,Jacket,Outerwear,35,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,1
108,28,Male,Sneakers,Footwear,67,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,0
109,70,Male,Socks,Clothing,79,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,1
110,58,Male,T-shirt,Clothing,85,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,1
111,56,Male,Backpack,Accessories,26,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,1
112,26,Male,Belt,Accessories,75,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,1
113,37,Male,Gloves,Accessories,65,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,1
114,44,Male,Hat,Accessories,54,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,1
115,70,Male,Coat,Outerwear,95,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,1
116,53,Male,Skirt,Clothing,94,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,1
117,55,Male,Shoes,Footwear,86,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,0
118,50,Male,Sandals,Footwear,32,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,0
119,50,Male,Sweater,Clothing,45,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,1
120,38,Male,Coat,Outerwear,76,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,1
121,64,Male,Hat,Accessories,84,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,Yes,32,Bank Transfer,Annually,1
122,19,Male,Shorts,Clothing,72,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,Yes,11,Cash,Fortnightly,1
123,40,Male,Backpack,Accessories,40,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,1
124,57,Male,Sweater,Clothing,89,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,Yes,46,Cash,Weekly,1
125,44,Male,Sweater,Clothing,86,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,Yes,50,PayPal,Annually,1
126,49,Male,Shorts,Clothing,54,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,1
127,43,Male,Shorts,Clothing,36,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,1
128,24,Male,Sweater,Clothing,89,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,Yes,26,Credit Card,Weekly,1
129,20,Male,Scarf,Accessories,32,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,Yes,21,Credit Card,Fortnightly,1
130,24,Male,Dress,Clothing,67,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,1
131,44,Male,Scarf,Accessories,39,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,1
132,28,Male,Skirt,Clothing,29,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,1
133,30,Male,Backpack,Accessories,58,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,1
134,52,Male,Sweater,Clothing,65,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,Annually,1
135,43,Male,Hat,Accessories,94,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,Yes,25,Cash,Monthly,1
136,43,Male,Sandals,Footwear,81,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,Yes,12,PayPal,Quarterly,0
137,39,Male,Blouse,Clothing,86,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,1
138,68,Male,Sneakers,Footwear,43,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,Yes,38,PayPal,Weekly,0
139,68,Male,Skirt,Clothing,29,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,1
140,49,Male,Coat,Outerwear,95,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,30,Venmo,Annually,1
141,63,Male,Shirt,Clothing,28,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,1
142,56,Male,Gloves,Accessories,46,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,Yes,45,PayPal,Weekly,1
143,37,Male,Jacket,Outerwear,58,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,1
144,30,Male,Coat,Outerwear,48,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,Quarterly,1
145,19,Male,Shoes,Footwear,43,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,Yes,25,Cash,Monthly,0
146,24,Male,Jewelry,Accessories,95,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,Yes,44,Debit Card,Quarterly,1
147,52,Male,Skirt,Clothing,30,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,Yes,21,Venmo,Fortnightly,1
148,63,Male,Shoes,Footwear,64,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,0
149,37,Male,Gloves,Accessories,90,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,Yes,47,Debit Card,Annually,1
150,38,Male,Pants,Clothing,76,M,White,Summer,3.2,Yes,Venmo,Free Shipping,Yes,Yes,14,PayPal,Monthly,1
151,35,Male,Boots,Footwear,96,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,Yes,17,Debit Card,Every 3 Months,0
152,28,Male,Sunglasses,Accessories,47,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,Yes,3,Venmo,Annually,1
153,30,Male,Shirt,Clothing,85,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,Yes,42,Venmo,Annually,1
154,69,Male,Hoodie,Clothing,55,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,Yes,22,Debit Card,Annually,1
155,41,Male,Dress,Clothing,98,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,Yes,21,Venmo,Quarterly,1
156,63,Male,Socks,Clothing,77,S,Olive,Spring,4.3,Yes,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,1
157,35,Male,Shorts,Clothing,26,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,Yes,40,Debit Card,Annually,1
158,36,Male,Hat,Accessories,68,S,Yellow,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,1
159,25,Male,Shirt,Clothing,73,XL,Teal,Fall,4.1,Yes,Bank Transfer,Standard,Yes,Yes,50,Bank Transfer,Monthly,1
160,58,Male,Gloves,Accessories,27,M,Charcoal,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months,1
161,27,Male,Gloves,Accessories,23,M,Orange,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,34,Venmo,Monthly,1
162,65,Male,Backpack,Accessories,49,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,Yes,29,Venmo,Fortnightly,1
163,54,Male,Sunglasses,Accessories,74,M,Turquoise,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,1
164,54,Male,Skirt,Clothing,67,M,Purple,Summer,3.4,Yes,PayPal,Standard,Yes,Yes,8,Debit Card,Weekly,1
165,59,Male,Handbag,Accessories,65,S,Purple,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly,1
166,42,Male,Handbag,Accessories,60,S,Yellow,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,7,Cash,Monthly,1
167,46,Male,Sneakers,Footwear,31,XL,Indigo,Fall,4.0,Yes,Cash,Store Pickup,Yes,Yes,30,Cash,Monthly,0
168,33,Male,Gloves,Accessories,27,M,Green,Fall,4.0,Yes,Venmo,Express,Yes,Yes,14,Credit Card,Every 3 Months,1
169,34,Male,Shoes,Footwear,80,M,Magenta,Summer,3.0,Yes,Bank Transfer,Express,Yes,Yes,5,Cash,Fortnightly,0
170,27,Male,Jacket,Outerwear,30,S,Gold,Summer,3.3,Yes,Credit Card,Standard,Yes,Yes,3,PayPal,Every 3 Months,1
171,52,Male,Shirt,Clothing,25,M,Maroon,Fall,2.6,Yes,Venmo,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly,1
172,29,Male,Shorts,Clothing,35,M,Blue,Summer,3.6,Yes,Debit Card,Store Pickup,Yes,Yes,4,Credit Card,Weekly,1
173,54,Male,Jewelry,Accessories,67,M,Violet,Summer,3.9,Yes,Bank Transfer,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly,1
174,25,Male,Hat,Accessories,46,M,Turquoise,Fall,3.4,Yes,PayPal,Standard,Yes,Yes,30,Cash,Annually,1
175,41,Male,Shoes,Footwear,35,L,Brown,Winter,3.5,Yes,Venmo,Express,Yes,Yes,37,Venmo,Annually,0
176,53,Male,Coat,Outerwear,86,L,Violet,Fall,2.8,Yes,Debit Card,Next Day Air,Yes,Yes,2,Bank Transfer,Annually,1
177,53,Male,Backpack,Accessories,81,L,Black,Spring,2.7,Yes,Bank Transfer,Next Day Air,Yes,Yes,30,Credit Card,Quarterly,1
178,21,Male,Hoodie,Clothing,42,L,Magenta,Fall,3.7,Yes,Debit Card,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly,1
179,61,Male,Skirt,Clothing,43,L,Lavender,Fall,4.3,Yes,Debit Card,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly,1
180,64,Male,Boots,Footwear,31,M,Violet,Fall,4.9,Yes,Debit Card,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly,0
181,51,Male,Sandals,Footwear,81,L,Green,Fall,3.3,Yes,Cash,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly,0
182,32,Male,Pants,Clothing,61,M,Beige,Summer,4.7,Yes,Venmo,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly,1
183,38,Male,Gloves,Accessories,96,XL,Purple,Summer,2.8,Yes,Venmo,Store Pickup,Yes,Yes,10,Debit Card,Annually,1
184,58,Male,Skirt,Clothing,29,XL,Beige,Spring,3.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly,1
185,32,Male,Sneakers,Footwear,33,L,Cyan,Spring,3.0,Yes,Cash,Express,Yes,Yes,40,Cash,Fortnightly,0
186,46,Male,T-shirt,Clothing,32,XL,Silver,Summer,4.5,Yes,Bank Transfer,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly,1
187,39,Male,Backpack,Accessories,56,S,Lavender,Summer,2.9,Yes,Debit Card,Standard,Yes,Yes,31,Debit Card,Annually,1
188,19,Male,Shoes,Footwear,94,S,Purple,Spring,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly,0
